base.txt:224 ---> src="{% static " (has {%}، {} یا URL مطلق)
base.txt:313 ---> src="{% static " (has {%}، {} یا URL مطلق)
base.txt:314 ---> src="{% static " (has {%}، {} یا URL مطلق)
base.txt:315 ---> src="{% static " (has {%}، {} یا URL مطلق)
base.txt:316 ---> src="{% static " (has {%}، {} یا URL مطلق)
base.txt:318 ---> src="{% static " (has {%}، {} یا URL مطلق)
base.txt:319 ---> src="{% static " (has {%}، {} یا URL مطلق)
base.txt:320 ---> src="{% static " (has {%}، {} یا URL مطلق)
footer.txt:9 ---> src="{% static " (has {%}، {} یا URL مطلق)
footer.txt:36 ---> src="{% static " (has {%}، {} یا URL مطلق)
header.txt:11 ---> src="{% static " (has {%}، {} یا URL مطلق)
header.txt:143 ---> src="{% static " (has {%}، {} یا URL مطلق)
